11/03/2004;13.00.00;1,9;1286;63;7,3;869;146;1162;112;1537;799;8,3;76,4;0,8393
12/03/2004;19.00.00;3,7;1525;242;18,2;1246;202;821;145;1847;1448;14,4;43,4;0,7084
13/03/2004;04.00.00;-200;1147;56;6,2;821;109;1132;83;1412;992;7;71,1;0,7158
13/03/2004;10.00.00;3,2;1447;160;12,9;1081;250;869;126;1667;1465;12,4;51,2;0,7335
13/03/2004;19.00.00;4,2;1609;258;19,6;1286;277;758;165;1922;1612;15,8;42,4;0,7569
13/03/2004;22.00.00;3,1;1444;180;13,1;1089;214;844;143;1748;1624;14,6;48,6;0,806
14/03/2004;10.00.00;2,2;1332;129;8,6;923;144;952;98;1614;1225;14,5;53,1;0,8728
15/03/2004;02.00.00;1,8;1224;66;7;855;108;998;88;1566;1149;13,4;61,3;0,9361
15/03/2004;04.00.00;-200;1078;44;4;711;66;1150;71;1468;1013;12,3;65,4;0,9351
15/03/2004;07.00.00;2,2;1314;107;9,7;966;228;897;89;1710;1235;11,3;70,2;0,9401
15/03/2004;08.00.00;5,5;1797;336;25,9;1451;360;652;114;2323;1680;12,4;63,9;0,917
15/03/2004;22.00.00;3,2;1439;224;15,3;1159;193;764;125;1856;1494;15,7;60,2;1,0654
16/03/2004;10.00.00;5,3;1735;437;25,1;1431;396;628;150;2211;1843;17,8;42,9;0,8672
16/03/2004;17.00.00;2,9;1389;199;15,8;1173;190;898;133;1739;1363;28;19,1;0,7098
16/03/2004;21.00.00;5,1;1800;349;24,9;1426;317;700;177;2106;2034;19;41,3;0,9007
17/03/2004;05.00.00;0,5;869;11;1,6;554;28;1460;40;1268;667;11,8;58;0,8026
18/03/2004;06.00.00;0,7;938;26;3;650;68;1251;71;1333;893;10,9;62,1;0,8113
18/03/2004;22.00.00;2,1;1333;-200;10,3;989;129;885;121;1621;1194;14,5;57,8;0,9456
19/03/2004;05.00.00;0,5;913;-200;1,3;525;18;1620;28;1260;370;12,5;66,8;0,962
20/03/2004;07.00.00;1,1;1064;-200;4,3;728;115;1161;91;1461;842;13,5;58,4;0,896
20/03/2004;13.00.00;2,6;1495;-200;11,7;1040;168;809;105;1735;1373;17,1;47,9;0,9281
20/03/2004;15.00.00;1,7;1305;-200;7,6;884;95;980;87;1573;927;19,5;42,3;0,9476
20/03/2004;19.00.00;3,5;1633;-200;16,6;1199;215;734;136;1919;1417;17,4;51,6;1,0159
23/03/2004;11.00.00;3;1308;325;15,5;1166;220;792;131;1794;1236;12,8;55,8;0,821
25/03/2004;14.00.00;1,9;1038;168;8,2;907;106;976;81;1492;723;14,2;46,3;0,7438
25/03/2004;19.00.00;5,2;1443;797;24,6;1418;253;666;141;2060;1454;13,4;47,8;0,7293
25/03/2004;20.00.00;4,6;1389;698;21,6;1341;231;692;133;1982;1488;12,6;52,5;0,7642
25/03/2004;21.00.00;2,5;1183;234;10,3;989;150;904;119;1539;1205;12,2;53,2;0,7555
25/03/2004;23.00.00;1,2;979;67;4,5;736;75;1154;92;1324;769;9,9;59,5;0,7276
26/03/2004;13.00.00;2,3;1106;211;12,5;1068;116;915;99;1535;874;19,1;26,2;0,5741
26/03/2004;17.00.00;2,3;1180;247;11,2;1023;127;886;102;1588;966;14,2;43,3;0,6982
27/03/2004;09.00.00;1,8;1163;128;8,5;919;128;922;84;1530;1076;11,1;50,5;0,6654
27/03/2004;10.00.00;2,1;1167;184;9,7;966;129;942;93;1520;1016;15,5;36,1;0,6313
27/03/2004;15.00.00;1,9;1046;150;7,6;883;113;1051;101;1357;765;17,8;28,4;0,5737
27/03/2004;21.00.00;2,2;1148;231;8,8;930;140;948;107;1475;1056;12,5;48,1;0,6946
28/03/2004;03.00.00;2,2;1151;129;8,3;911;-200;935;-200;1501;1075;8,2;66,7;0,7276
