2;1;10;1;1488854737958;1488854740385;2.427;4.120313143798929;0;
2;1;10;2;1488854811896;1488854813526;1.63;6.134969325153374;0;
2;1;10;1;1488855511984;1488855514947;2.963;3.374957813027337;10;
2;1;10;1;1488855563644;1488855565243;1.599;6.253908692933083;0;
2;1;10;1;1488889401075;1488889404357;3.282;3.0469226081657528;0;
2;1;10;2;1488889423684;1488889425279;1.595;6.269592476489028;0;
2;10;10;1;1488891955912;1488891958848;2.936;34.059945504087196;0;
2;10;10;1;1488894321068;1488894324060;2.992;33.42245989304813;0;
2;1;100000;1;1488897645783;1488897683684;37.901;2638.45281127147;0;
2;10;10;1;1488902824525;1488902828068;3.543;28.22466836014677;0;
2;10;10;2;1488902981473;1488903083837;102.364;0.9769059434957602;0;
2;10;10;2;1488903087431;1488903121631;34.2;2.923976608187134;0;
2;10;10;2;1488905112177;1488905167723;55.546;1.8003096532603609;0;
2;10;10;2;1488905197823;1488905201451;3.628;27.563395810363836;0;
2;10;10;2;1488905309750;1488905312564;2.814;35.536602700781806;0;
